2026-03-10 10:29:57.613 [info] Reading sessions from keychain...
2026-03-10 10:29:57.613 [info] Got stored sessions!
2026-03-10 10:29:57.613 [info] Got 1 verified sessions.
2026-03-10 10:29:58.201 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:58.705 [info] FetcherService: Electron fetch failed with status: 429 
2026-03-10 10:29:58.707 [info] Unable to resolve optional EDU details. Status: 429 
2026-03-10 10:29:58.817 [info] Getting sessions for all scopes...
2026-03-10 10:29:58.817 [info] Got 1 sessions for ...
2026-03-10 10:29:58.817 [info] Getting sessions for all scopes...
2026-03-10 10:29:58.817 [info] Got 1 sessions for ...
2026-03-10 10:29:58.856 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:58.856 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:59.215 [info] Getting sessions for all scopes...
2026-03-10 10:29:59.215 [info] Got 1 sessions for ...
2026-03-10 10:29:59.215 [info] Getting sessions for all scopes...
2026-03-10 10:29:59.215 [info] Got 1 sessions for ...
2026-03-10 10:29:59.224 [info] Getting sessions for all scopes...
2026-03-10 10:29:59.224 [info] Got 1 sessions for ...
2026-03-10 10:29:59.244 [info] Getting sessions for all scopes...
2026-03-10 10:29:59.244 [info] Got 1 sessions for ...
2026-03-10 10:29:59.251 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:59.251 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:59.817 [info] Getting sessions for all scopes...
2026-03-10 10:29:59.817 [info] Got 1 sessions for ...
2026-03-10 10:29:59.821 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:59.821 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:30:00.311 [info] Getting sessions for read:user,repo,user:email...
2026-03-10 10:30:00.311 [info] Got 0 sessions for read:user,repo,user:email...
2026-03-10 10:30:26.624 [info] Getting sessions for all scopes...
2026-03-10 10:30:26.624 [info] Got 1 sessions for ...
2026-03-10 10:30:26.626 [info] Getting sessions for all scopes...
2026-03-10 10:30:26.626 [info] Got 1 sessions for ...
2026-03-10 10:30:28.975 [info] Getting sessions for all scopes...
2026-03-10 10:30:28.975 [info] Got 1 sessions for ...
2026-03-10 10:30:28.977 [info] Getting sessions for all scopes...
2026-03-10 10:30:28.977 [info] Got 1 sessions for ...
2026-03-10 10:32:22.055 [info] Getting sessions for all scopes...
2026-03-10 10:32:22.055 [info] Got 1 sessions for ...
2026-03-10 10:32:22.056 [info] Getting sessions for all scopes...
2026-03-10 10:32:22.056 [info] Got 1 sessions for ...
2026-03-10 10:32:39.968 [info] Getting sessions for all scopes...
2026-03-10 10:32:39.968 [info] Got 1 sessions for ...
2026-03-10 10:32:39.969 [info] Getting sessions for all scopes...
2026-03-10 10:32:39.969 [info] Got 1 sessions for ...
2026-03-10 10:33:29.059 [info] Getting sessions for all scopes...
2026-03-10 10:33:29.059 [info] Got 1 sessions for ...
2026-03-10 10:33:29.060 [info] Getting sessions for all scopes...
2026-03-10 10:33:29.060 [info] Got 1 sessions for ...
2026-03-10 10:33:44.860 [info] Getting sessions for all scopes...
2026-03-10 10:33:44.860 [info] Got 1 sessions for ...
2026-03-10 10:33:44.862 [info] Getting sessions for all scopes...
2026-03-10 10:33:44.862 [info] Got 1 sessions for ...
2026-03-10 10:36:11.363 [info] Getting sessions for all scopes...
2026-03-10 10:36:11.363 [info] Got 1 sessions for ...
2026-03-10 10:36:11.365 [info] Getting sessions for all scopes...
2026-03-10 10:36:11.365 [info] Got 1 sessions for ...
2026-03-10 10:36:17.254 [info] Getting sessions for all scopes...
2026-03-10 10:36:17.254 [info] Got 1 sessions for ...
2026-03-10 10:36:17.255 [info] Getting sessions for all scopes...
2026-03-10 10:36:17.255 [info] Got 1 sessions for ...
2026-03-10 10:37:59.679 [info] Getting sessions for all scopes...
2026-03-10 10:37:59.679 [info] Got 1 sessions for ...
2026-03-10 10:37:59.680 [info] Getting sessions for all scopes...
2026-03-10 10:37:59.680 [info] Got 1 sessions for ...
2026-03-10 10:38:14.089 [info] Getting sessions for all scopes...
2026-03-10 10:38:14.089 [info] Got 1 sessions for ...
2026-03-10 10:38:14.090 [info] Getting sessions for all scopes...
2026-03-10 10:38:14.090 [info] Got 1 sessions for ...
2026-03-10 10:38:59.383 [info] Getting sessions for all scopes...
2026-03-10 10:38:59.383 [info] Got 1 sessions for ...
2026-03-10 10:38:59.384 [info] Getting sessions for all scopes...
2026-03-10 10:38:59.384 [info] Got 1 sessions for ...
2026-03-10 10:41:05.567 [info] Getting sessions for all scopes...
2026-03-10 10:41:05.568 [info] Got 1 sessions for ...
2026-03-10 10:41:05.569 [info] Getting sessions for all scopes...
2026-03-10 10:41:05.569 [info] Got 1 sessions for ...
2026-03-10 10:41:42.217 [info] Getting sessions for all scopes...
2026-03-10 10:41:42.217 [info] Got 1 sessions for ...
2026-03-10 10:41:42.218 [info] Getting sessions for all scopes...
2026-03-10 10:41:42.218 [info] Got 1 sessions for ...
2026-03-10 10:41:51.708 [info] Getting sessions for all scopes...
2026-03-10 10:41:51.708 [info] Got 1 sessions for ...
2026-03-10 10:41:51.709 [info] Getting sessions for all scopes...
2026-03-10 10:41:51.709 [info] Got 1 sessions for ...
2026-03-10 10:42:02.343 [info] Getting sessions for all scopes...
2026-03-10 10:42:02.343 [info] Got 1 sessions for ...
2026-03-10 10:42:02.344 [info] Getting sessions for all scopes...
2026-03-10 10:42:02.344 [info] Got 1 sessions for ...
2026-03-10 10:43:20.149 [info] Getting sessions for all scopes...
2026-03-10 10:43:20.149 [info] Got 1 sessions for ...
2026-03-10 10:43:20.150 [info] Getting sessions for all scopes...
2026-03-10 10:43:20.150 [info] Got 1 sessions for ...
2026-03-10 10:43:23.505 [info] Getting sessions for all scopes...
2026-03-10 10:43:23.505 [info] Got 1 sessions for ...
2026-03-10 10:43:23.506 [info] Getting sessions for all scopes...
2026-03-10 10:43:23.507 [info] Got 1 sessions for ...
2026-03-10 10:43:25.461 [info] Getting sessions for all scopes...
2026-03-10 10:43:25.461 [info] Got 1 sessions for ...
2026-03-10 10:43:25.462 [info] Getting sessions for all scopes...
2026-03-10 10:43:25.463 [info] Got 1 sessions for ...
2026-03-10 10:43:56.304 [info] Getting sessions for all scopes...
2026-03-10 10:43:56.304 [info] Got 1 sessions for ...
2026-03-10 10:43:56.306 [info] Getting sessions for all scopes...
2026-03-10 10:43:56.306 [info] Got 1 sessions for ...
2026-03-10 10:44:59.945 [info] Getting sessions for all scopes...
2026-03-10 10:44:59.945 [info] Got 1 sessions for ...
2026-03-10 10:44:59.947 [info] Getting sessions for all scopes...
2026-03-10 10:44:59.947 [info] Got 1 sessions for ...
2026-03-10 10:45:28.380 [info] Getting sessions for all scopes...
2026-03-10 10:45:28.380 [info] Got 1 sessions for ...
2026-03-10 10:45:28.381 [info] Getting sessions for all scopes...
2026-03-10 10:45:28.381 [info] Got 1 sessions for ...
2026-03-10 10:45:28.690 [info] Getting sessions for all scopes...
2026-03-10 10:45:28.690 [info] Got 1 sessions for ...
2026-03-10 10:45:28.692 [info] Getting sessions for all scopes...
2026-03-10 10:45:28.692 [info] Got 1 sessions for ...
2026-03-10 10:45:29.428 [info] Getting sessions for all scopes...
2026-03-10 10:45:29.428 [info] Got 1 sessions for ...
2026-03-10 10:45:29.430 [info] Getting sessions for all scopes...
2026-03-10 10:45:29.430 [info] Got 1 sessions for ...
2026-03-10 10:45:36.140 [info] Getting sessions for all scopes...
2026-03-10 10:45:36.140 [info] Got 1 sessions for ...
2026-03-10 10:45:36.141 [info] Getting sessions for all scopes...
2026-03-10 10:45:36.141 [info] Got 1 sessions for ...
2026-03-10 10:45:37.664 [info] Getting sessions for all scopes...
2026-03-10 10:45:37.664 [info] Got 1 sessions for ...
2026-03-10 10:45:37.665 [info] Getting sessions for all scopes...
2026-03-10 10:45:37.665 [info] Got 1 sessions for ...
2026-03-10 10:45:40.454 [info] Getting sessions for all scopes...
2026-03-10 10:45:40.454 [info] Got 1 sessions for ...
2026-03-10 10:45:40.456 [info] Getting sessions for all scopes...
2026-03-10 10:45:40.456 [info] Got 1 sessions for ...
2026-03-10 10:46:02.547 [info] Getting sessions for all scopes...
2026-03-10 10:46:02.547 [info] Got 1 sessions for ...
2026-03-10 10:46:02.548 [info] Getting sessions for all scopes...
2026-03-10 10:46:02.548 [info] Got 1 sessions for ...
2026-03-10 10:46:06.559 [info] Getting sessions for all scopes...
2026-03-10 10:46:06.559 [info] Got 1 sessions for ...
2026-03-10 10:46:06.562 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:46:06.562 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:46:07.231 [info] Getting sessions for all scopes...
2026-03-10 10:46:07.231 [info] Got 1 sessions for ...
2026-03-10 10:46:07.232 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:46:07.232 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:47:18.083 [info] Getting sessions for all scopes...
2026-03-10 10:47:18.083 [info] Got 1 sessions for ...
2026-03-10 10:47:18.085 [info] Getting sessions for all scopes...
2026-03-10 10:47:18.085 [info] Got 1 sessions for ...
2026-03-10 10:48:13.789 [info] Getting sessions for all scopes...
2026-03-10 10:48:13.789 [info] Got 1 sessions for ...
2026-03-10 10:48:13.790 [info] Getting sessions for all scopes...
2026-03-10 10:48:13.834 [info] Got 1 sessions for ...
2026-03-10 10:49:06.665 [info] Getting sessions for all scopes...
2026-03-10 10:49:06.666 [info] Got 1 sessions for ...
2026-03-10 10:49:06.667 [info] Getting sessions for all scopes...
2026-03-10 10:49:06.668 [info] Got 1 sessions for ...
2026-03-10 10:50:01.043 [info] Getting sessions for all scopes...
2026-03-10 10:50:01.043 [info] Got 1 sessions for ...
2026-03-10 10:50:01.044 [info] Getting sessions for all scopes...
2026-03-10 10:50:01.044 [info] Got 1 sessions for ...
2026-03-10 10:51:15.344 [info] Getting sessions for all scopes...
2026-03-10 10:51:15.344 [info] Got 1 sessions for ...
2026-03-10 10:51:15.345 [info] Getting sessions for all scopes...
2026-03-10 10:51:15.345 [info] Got 1 sessions for ...
2026-03-10 10:51:17.361 [info] Getting sessions for all scopes...
2026-03-10 10:51:17.361 [info] Got 1 sessions for ...
2026-03-10 10:51:17.362 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:17.362 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:18.528 [info] Getting sessions for all scopes...
2026-03-10 10:51:18.528 [info] Got 1 sessions for ...
2026-03-10 10:51:18.528 [info] Getting sessions for all scopes...
2026-03-10 10:51:18.528 [info] Got 1 sessions for ...
2026-03-10 10:51:18.529 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:18.529 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:18.534 [info] Getting sessions for all scopes...
2026-03-10 10:51:18.534 [info] Got 1 sessions for ...
2026-03-10 10:51:18.535 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:18.535 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:34.339 [info] Getting sessions for all scopes...
2026-03-10 10:51:34.339 [info] Got 1 sessions for ...
2026-03-10 10:51:34.340 [info] Getting sessions for all scopes...
2026-03-10 10:51:34.340 [info] Got 1 sessions for ...
2026-03-10 10:51:35.766 [info] Getting sessions for all scopes...
2026-03-10 10:51:35.766 [info] Got 1 sessions for ...
2026-03-10 10:51:35.768 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:35.768 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:36.172 [info] Getting sessions for all scopes...
2026-03-10 10:51:36.172 [info] Got 1 sessions for ...
2026-03-10 10:51:36.173 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:36.173 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:51:53.653 [info] Getting sessions for all scopes...
2026-03-10 10:51:53.653 [info] Got 1 sessions for ...
2026-03-10 10:51:53.654 [info] Getting sessions for all scopes...
2026-03-10 10:51:53.654 [info] Got 1 sessions for ...
2026-03-10 10:52:13.821 [info] Getting sessions for all scopes...
2026-03-10 10:52:13.821 [info] Got 1 sessions for ...
2026-03-10 10:52:13.826 [info] Getting sessions for all scopes...
2026-03-10 10:52:13.826 [info] Got 1 sessions for ...
2026-03-10 10:52:41.092 [info] Getting sessions for all scopes...
2026-03-10 10:52:41.092 [info] Got 1 sessions for ...
2026-03-10 10:52:41.093 [info] Getting sessions for all scopes...
2026-03-10 10:52:41.093 [info] Got 1 sessions for ...
2026-03-10 10:53:50.452 [info] Getting sessions for all scopes...
2026-03-10 10:53:50.452 [info] Got 1 sessions for ...
2026-03-10 10:53:50.453 [info] Getting sessions for all scopes...
2026-03-10 10:53:50.454 [info] Got 1 sessions for ...
2026-03-10 10:53:52.685 [info] Getting sessions for all scopes...
2026-03-10 10:53:52.686 [info] Got 1 sessions for ...
2026-03-10 10:53:52.689 [info] Getting sessions for all scopes...
2026-03-10 10:53:52.689 [info] Got 1 sessions for ...
2026-03-10 10:55:52.918 [info] Getting sessions for all scopes...
2026-03-10 10:55:52.918 [info] Got 1 sessions for ...
2026-03-10 10:55:52.918 [info] Getting sessions for all scopes...
2026-03-10 10:55:52.918 [info] Got 1 sessions for ...
2026-03-10 10:57:30.897 [info] Getting sessions for all scopes...
2026-03-10 10:57:30.897 [info] Got 1 sessions for ...
2026-03-10 10:57:30.898 [info] Getting sessions for all scopes...
2026-03-10 10:57:30.898 [info] Got 1 sessions for ...
2026-03-10 10:57:38.013 [info] Getting sessions for all scopes...
2026-03-10 10:57:38.013 [info] Got 1 sessions for ...
2026-03-10 10:57:38.014 [info] Getting sessions for all scopes...
2026-03-10 10:57:38.014 [info] Got 1 sessions for ...
2026-03-10 10:58:03.876 [info] Getting sessions for all scopes...
2026-03-10 10:58:03.876 [info] Got 1 sessions for ...
2026-03-10 10:58:03.878 [info] Getting sessions for all scopes...
2026-03-10 10:58:03.878 [info] Got 1 sessions for ...
2026-03-10 10:58:12.112 [info] Getting sessions for all scopes...
2026-03-10 10:58:12.112 [info] Got 1 sessions for ...
2026-03-10 10:58:12.114 [info] Getting sessions for all scopes...
2026-03-10 10:58:12.114 [info] Got 1 sessions for ...
2026-03-10 10:59:43.917 [info] Getting sessions for all scopes...
2026-03-10 10:59:43.917 [info] Got 1 sessions for ...
2026-03-10 10:59:43.918 [info] Getting sessions for all scopes...
2026-03-10 10:59:43.918 [info] Got 1 sessions for ...
2026-03-10 10:59:54.462 [info] Getting sessions for all scopes...
2026-03-10 10:59:54.462 [info] Got 1 sessions for ...
2026-03-10 10:59:54.463 [info] Getting sessions for all scopes...
2026-03-10 10:59:54.463 [info] Got 1 sessions for ...
2026-03-10 11:01:21.534 [info] Getting sessions for all scopes...
2026-03-10 11:01:21.534 [info] Got 1 sessions for ...
2026-03-10 11:01:21.535 [info] Getting sessions for all scopes...
2026-03-10 11:01:21.535 [info] Got 1 sessions for ...
2026-03-10 11:01:48.599 [info] Getting sessions for all scopes...
2026-03-10 11:01:48.599 [info] Got 1 sessions for ...
2026-03-10 11:01:48.604 [info] Getting sessions for all scopes...
2026-03-10 11:01:48.604 [info] Got 1 sessions for ...
2026-03-10 11:01:57.326 [info] Getting sessions for all scopes...
2026-03-10 11:01:57.326 [info] Got 1 sessions for ...
2026-03-10 11:01:57.327 [info] Getting sessions for all scopes...
2026-03-10 11:01:57.327 [info] Got 1 sessions for ...
2026-03-10 11:02:21.473 [info] Getting sessions for all scopes...
2026-03-10 11:02:21.473 [info] Got 1 sessions for ...
2026-03-10 11:02:21.474 [info] Getting sessions for all scopes...
2026-03-10 11:02:21.474 [info] Got 1 sessions for ...
2026-03-10 11:03:14.843 [info] Getting sessions for all scopes...
2026-03-10 11:03:14.843 [info] Got 1 sessions for ...
2026-03-10 11:03:14.844 [info] Getting sessions for all scopes...
2026-03-10 11:03:14.844 [info] Got 1 sessions for ...
2026-03-10 11:03:20.406 [info] Getting sessions for all scopes...
2026-03-10 11:03:20.406 [info] Got 1 sessions for ...
2026-03-10 11:03:20.406 [info] Getting sessions for all scopes...
2026-03-10 11:03:20.406 [info] Got 1 sessions for ...
2026-03-10 11:58:19.781 [info] Getting sessions for all scopes...
2026-03-10 11:58:19.781 [info] Got 1 sessions for ...
2026-03-10 11:58:19.781 [info] Getting sessions for all scopes...
2026-03-10 11:58:19.781 [info] Got 1 sessions for ...
